,D_free,D_bound,F_bound,sigma
rep 1,0.04159841666077729,0.0,0.24989350186641496,0.021580469378746046
rep 2,0.039635677721495,7.335842899178102e-05,0.21802341756573979,0.02141338960072975
rep 3,0.04476584329019047,1.1102230246251566e-18,0.2802790608981813,0.021612192154029937
rep 4,0.036718311586368145,4.3298697960381107e-17,0.22677814455116752,0.02109356873133501
rep 5,0.03985982506404116,0.0,0.23669914147032456,0.02149774167792462
rep 6,0.04476337549846139,0.0,0.24051027191181557,0.02101775185350011
mean,0.04122357497022224,1.2226404831970905e-05,0.24203058971060723,0.02136918556604425
std,0.0028837761286309937,2.7339072324698978e-05,0.019851482060708473,0.00023153258078372285
